1;21 Mart bayram günüdür;21 mart bayram günüdür
2;2gün sonra (birisigün) maaş olacaq;2gün sonra (birisigün) maaş olacaq
3;3 gün hava yağışlı olacaq;3 gün hava yağışlı olacaq
4;4 gün sonrs məktəblərdə dərslər başlayacaq;4 gün sonrs məktəblərdə dərslər başlayacaq
5;Alma, armud, banan çox faydalıdır;alma, armud, banan çox faydalıdır
6;Axşam məşqulam ona görə də görüşə bilmərik;axşam məşqulam ona görə də görüşə bilmərik
7;Azərbaycanın paytaxtı Bakı şəhəridir;azərbaycanın paytaxtı bakı şəhəridir
8;Azərbaycanın rayonları çox gözəldir;azərbaycanın rayonları çox gözəldir
9;Bacım xəstələnib sümükləri ağrıyır;bacım xəstələnib sümükləri ağrıyır
10;Bayrağımız 3 rənglidir_ göy, qırmızı, yaşıl;bayrağımız 3 rənglidir_ göy, qırmızı, yaşıl
11;Bağışlayın internet var_;bağışlayın internet var_
12;Bizim həyət evimizdə çoxlu ağac var;bizim həyət evimizdə çoxlu ağac var
13;Bu gün film izlədik;bu gün film izlədik
14;Bu gün hava çox soyuqdur;bu gün hava çox soyuqdur
15;Bu gün mən az yatmışam;bu gün mən az yatmışam
16;Bu gün vacib iclasım var;bu gün vacib iclasım var
17;Bugün hava çox istidir;bugün hava çox istidir
18;Bugün hava əladır;bugün hava əladır
19;Bugün məktəbimizdə iclas oldu;bugün məktəbimizdə iclas oldu
20;Dayım oğlu Fransaya səyahət edəcək;dayım oğlu fransaya səyahət edəcək
21;Dovşan çox qorxaqdır;dovşan çox qorxaqdır
22;Dünən oğlum xəstələnib, qripdi;dünən oğlum xəstələnib, qripdi
23;Dünən yeni kitab aldım, çox maraqlıdır;dünən yeni kitab aldım, çox maraqlıdır
24;Dərs bitdi saat 3-də evə getmək lazımdır;dərs bitdi saat 3-də evə getmək lazımdır
25;Eşitmə məhdudiyyətli insanlar işarət dilini yaxşı bilir;eşitmə məhdudiyyətli insanlar işarət dilini yaxşı bilir
26;Eşitmə məhdudiyyətli insanlar çox hissiyatlıdırlar;eşitmə məhdudiyyətli insanlar çox hissiyatlıdırlar
